order_id,customer_id,food_id,quantity,order_date,status,total_amount
1,1,2,2,2026-07-10 12:30:00,Delivered,600
2,2,1,1,2026-07-11 13:15:00,Delivered,250
3,3,3,3,2026-07-11 09:00:00,Delivered,360
4,4,4,5,2026-07-12 17:45:00,Delivered,150
5,5,5,4,2026-07-12 21:00:00,Delivered,200
6,1,1,1,2026-07-13 14:00:00,Delivered,250
7,2,2,2,2026-07-13 20:30:00,Delivered,600
8,3,5,2,2026-07-14 19:15:00,Delivered,100
9,4,3,2,2026-07-15 08:30:00,Delivered,240
10,5,2,1,2026-07-15 13:00:00,Delivered,300
11,1,4,10,2026-07-16 18:00:00,Delivered,300
12,2,3,1,2026-07-17 09:30:00,Preparing,120
